Node ID,round,period,step,Simulation time (seconds),Chronological time (seconds)
138,3,0,1,10.200000286101,17.1971477
138,3,0,2,10.200000286101,17.207147
132,3,0,1,10.200000286101,17.207147
132,3,0,2,10.200000286101,17.215149
125,3,0,1,10.200000286101,17.215149
125,3,0,2,10.200000286101,17.2241509
371,3,0,1,10.200000286101,17.2241509
371,3,0,2,10.200000286101,17.231151
369,3,0,1,10.200000286101,17.231151
369,3,0,2,10.200000286101,17.2361812
247,3,0,1,10.200000286101,17.2371826
247,3,0,2,10.200000286101,17.2431807
232,3,0,1,10.200000286101,17.2431807
232,3,0,2,10.200000286101,17.2511577
219,3,0,1,10.200000286101,17.2511577
219,3,0,2,10.200000286101,17.2561481
182,3,0,1,10.200000286101,17.2561481
182,3,0,2,10.200000286101,17.2656632
175,3,0,1,10.200000286101,17.2656632
175,3,0,2,10.200000286101,17.2776629
141,3,0,1,10.200000286101,17.2776629
141,3,0,2,10.200000286101,17.2926637
53,3,0,1,10.200000286101,17.2926637
53,3,0,2,10.200000286101,17.2996652
52,3,0,1,10.200000286101,17.2996652
52,3,0,2,10.200000286101,17.3126628
46,3,0,1,10.200000286101,17.3126628
46,3,0,2,10.200000286101,17.3246651
379,3,0,1,10.200000286101,17.3246651
379,3,0,2,10.200000286101,17.3286645
351,3,0,1,10.200000286101,17.3286645
351,3,0,2,10.200000286101,17.3366641
271,3,0,1,10.200000286101,17.3366641
271,3,0,2,10.200000286101,17.3446651
224,3,0,1,10.200000286101,17.3446651
224,3,0,2,10.200000286101,17.356668
168,3,0,1,10.200000286101,17.356668
168,3,0,2,10.200000286101,17.3656643
124,3,0,1,10.200000286101,17.3656643
124,3,0,2,10.200000286101,17.3696642
94,3,0,1,10.200000286101,17.3696642
94,3,0,2,10.200000286101,17.3776633
79,3,0,1,10.200000286101,17.3776633
79,3,0,2,10.200000286101,17.3806625
76,3,0,1,10.200000286101,17.3806625
76,3,0,2,10.200000286101,17.3906631
393,3,0,1,10.200000286101,17.3906631
393,3,0,2,10.200000286101,17.3986668
357,3,0,1,10.200000286101,17.3986668
357,3,0,2,10.200000286101,17.4076629
322,3,0,1,10.200000286101,17.4076629
322,3,0,2,10.200000286101,17.4166639
319,3,0,1,10.200000286101,17.4166639
319,3,0,2,10.200000286101,17.4216627
299,3,0,1,10.200000286101,17.4216627
299,3,0,2,10.200000286101,17.4266646
195,3,0,1,10.200000286101,17.4266646
195,3,0,2,10.200000286101,17.6627379
117,3,0,1,10.200000286101,17.6627379
117,3,0,2,10.200000286101,17.674741
35,3,0,1,10.200000286101,17.674741
35,3,0,2,10.200000286101,17.6797408
32,3,0,1,10.200000286101,17.6797408
32,3,0,2,10.200000286101,17.6867398
21,3,0,1,10.200000286101,17.6867398
21,3,0,2,10.200000286101,17.7007463
